result,time,n_jobs,executor_type
1.0000000785396617,0:00:00.713448,30,process
1.0000000785399288,0:00:00.720902,1,process
1.0000000785398107,0:00:00.732380,32,process
1.0000000785397147,0:00:00.735403,29,process
1.0000000785396783,0:00:00.748118,27,process
1.0000000785398135,0:00:00.759544,64,thread
1.0000000785397194,0:00:00.783834,34,process
1.0000000785397825,0:00:00.789277,28,process
1.000000078539756,0:00:00.790077,36,process
1.0000000785396328,0:00:00.796228,57,process
1.0000000785397778,0:00:00.808120,38,process
1.0000000785396206,0:00:00.829241,35,process
1.0000000785396033,0:00:00.832798,37,process
1.0000000785396326,0:00:00.867673,33,process
1.0000000785395016,0:00:00.875446,53,process
1.0000000785395935,0:00:00.877175,39,process
1.000000078539634,0:00:00.886024,41,process
1.000000078539813,0:00:00.899650,50,process
1.0000000785395669,0:00:00.903869,42,process
1.0000000785396883,0:00:00.914819,52,process
1.0000000785395655,0:00:00.919052,48,process
1.0000000785394685,0:00:00.921722,54,process
1.0000000785395875,0:00:00.932747,51,process
1.0000000785395247,0:00:00.935288,43,process
1.0000000785397984,0:00:00.952475,47,process
1.0000000785395406,0:00:00.962669,45,process
1.0000000785396754,0:00:00.963017,49,process
1.0000000785397216,0:00:00.968809,58,process
1.0000000785395657,0:00:00.979584,56,process
1.0000000785395604,0:00:00.988416,46,process
1.000000078539811,0:00:00.988604,40,process
1.0000000785395926,0:00:00.996537,59,process
1.0000000785397223,0:00:01.001422,44,process
1.000000078539658,0:00:01.013613,60,process
1.000000078539398,0:00:01.021411,63,process
1.0000000785394862,0:00:01.037395,62,process
1.0000000785394638,0:00:01.068100,55,process
1.0000000785398135,0:00:01.082687,64,process
1.0000000785395382,0:00:01.341784,61,process
